PA,SO,BB,SF,ATBS
136,40,18,9,103
267,110,40,6,213
173,50,20,10,139
332,129,50,3,275
107,52,45,5,55
542,187,22,6,510
391,193,22,6,356
170,24,42,2,117
265,129,29,4,222
294,33,21,4,269
381,182,45,8,321
560,115,38,8,509
180,15,39,6,130
401,82,33,8,355
329,158,29,5,291
133,47,16,2,110
147,18,6,0,134
305,130,36,2,259
235,68,40,10,178
504,125,27,8,464
497,72,6,3,485
320,93,40,8,268
101,46,23,4,70
129,58,22,8,96
305,69,44,3,257
198,27,38,8,146
287,142,42,7,236
213,37,39,4,166
139,25,25,10,104
158,44,23,10,122
147,71,22,2,117
133,32,13,6,107
152,23,37,1,110
359,156,36,7,315
168,22,18,4,141
231,99,20,10,195
239,117,16,10,208
392,118,8,7,373
355,173,27,0,324
481,23,46,7,422
326,112,35,7,275
588,208,46,1,538
191,35,23,2,161
137,26,6,9,116
116,58,21,8,81
128,33,38,6,81
292,114,14,4,273
526,113,35,10,476
541,53,31,8,494
249,116,10,8,226
521,41,48,8,458
566,74,22,8,535
251,101,50,2,192
143,28,21,2,111
342,170,15,7,316
343,131,16,3,317
150,70,45,1,98
314,136,31,10,267
509,162,41,10,452
253,56,14,4,228


