AB,SO,BB,SF,H,AVG
237,15,41,10,104,0.439
119,30,75,10,15,0.126
548,225,26,2,479,0.874
583,249,59,3,429,0.736
231,95,13,5,104,0.450
591,189,87,1,354,0.599
549,232,45,8,309,0.563
386,144,45,9,385,0.997
547,84,22,6,7,0.013
416,181,43,2,285,0.685
271,142,26,8,107,0.395
437,171,36,9,283,0.648
312,90,28,3,154,0.494
192,78,15,2,97,0.505
482,148,17,7,325,0.674
335,102,33,6,210,0.627
528,201,45,2,354,0.670
211,79,10,4,104,0.493
391,139,48,1,192,0.491
178,55,18,5,80,0.449
345,112,39,6,205,0.594
503,213,28,8,363,0.722
411,173,25,4,259,0.630
254,98,23,7,153,0.602
398,114,31,3,280,0.703
218,87,21,5,90,0.413
476,222,24,6,389,0.817
536,145,27,9,296,0.552
282,108,20,4,109,0.387
143,49,16,2,76,0.531
289,97,35,7,157,0.543
410,132,30,3,241,0.588
222,81,25,4,111,0.500
373,157,20,6,219,0.587
476,214,15,8,312,0.655
263,99,27,10,178,0.676
487,164,37,1,369,0.758
307,142,14,9,145,0.472
498,213,22,2,390,0.783
355,88,20,4,285,0.803
126,63,23,6,45,0.357
391,149,32,7,234,0.598
209,89,12,2,90,0.431
500,177,30,3,271,0.542
218,64,15,5,108,0.496
342,129,28,10,228,0.667
563,197,26,9,365,0.648
438,182,31,8,290,0.662
191,72,17,4,101,0.529
266,105,21,6,130,0.489
523,215,24,5,389,0.744
386,167,19,3,268,0.694
115,52,9,1,50,0.435
498,130,34,10,301,0.605
239,91,14,5,138,0.577
430,144,23,8,310,0.721
315,147,16,9,186,0.590
398,113,33,6,288,0.724
562,178,25,7,463,0.824
449,134,29,5,337,0.750
503,188,17,3,315,0.626
